date,price,bedrooms,bathrooms,sqft_living,sqft_log,floors,waterfront,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
6/5/2014 00:00,485000,3,2,1420,4080,1.5,no,1420,0,1905,2013,720 N 80th St,Seattle,WA 98103,USA
6/5/2014 00:00,1870000,5,4,4510,15175,2,no,4510,0,1969,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA
6/5/2014 00:00,369950,3,2,1270,1320,3,no,1270,0,2006,,8846 Midvale Ave N,Seattle,WA 98103,USA
6/5/2014 00:00,1800000,5,5,4490,10279,2,no,3930,560,2013,1923,1435 104th Ave SE,Bellevue,WA 98004,USA
7/5/2014 00:00,495000,3,1,990,6000,1,no,990,0,1943,2002,5628 NE 59th St,Seattle,WA 98105,USA
7/5/2014 00:00,1150000,4,4,4460,103382,2,no,4460,0,2001,,25823 NE 30th Ct,Redmond,WA 98053,USA
7/5/2014 00:00,249000,3,1,1110,8423,1,no,1110,0,1952,2008,14613 6th Ave SW,Burien,WA 98166,USA
,,,,,,,,,,,,,,,
7/5/2014 00:00,460000,3,2,1760,9055,2,no,1760,0,1985,,5003 159th Ct NE,Redmond,WA 98052,USA
7/5/2014 00:00,560000,3,3,4120,60392,2,no,3180,940,1994,,32223 NE 88th St,Carnation,WA 98014,USA
7/5/2014 00:00,415000,4,3,1830,9548,2,no,1830,0,1991,,15204 88th Ave NE,Bothell,WA 98028,USA
7/5/2014 00:00,246000,3,1,1400,7410,1,no,1400,0,1944,,624 SW 137th St,Burien,WA 98166,USA
2/7/2014 00:00,168333.3333,2,1,1050,6600,1.5,no,1050,0,1964,2000,13407 8th Ave S,Burien,WA 98168,USA
7/5/2014 00:00,350000,3,1,1010,9360,1,no,1010,0,1981,2013,9703 130th Ave NE,Kirkland,WA 98033,USA
7/5/2014 00:00,568000,3,2,2350,5080,1.5,no,1780,570,1929,,5531 Seward Park Ave S,Seattle,WA 98118,USA
7/5/2014 00:00,250000,1,1,1100,4373,1,no,820,280,1947,,232 SW 154th St,Burien,WA 98166,USA
7/5/2014 00:00,581000,4,2,2510,13695,1,no,1280,1230,1961,2001,11105 126th Ave NE,Kirkland,WA 98033,USA
4/6/2014 00:00,170000,2,1,1500,18540,1,no,1500,0,1950,2005,14426-14598 42nd Ave S,Tukwila,WA 98168,USA
30/6/2014 00:00,170000,2,1,1200,24792,2,no,1200,0,1976,,3009 W Ames Lake Dr NE,Redmond,WA 98053,USA
7/7/2014 00:00,170500,2,1,1060,7700,1,no,820,240,1981,2013,1019 S 22nd Ct,Renton,WA 98055,USA
12/6/2014 00:00,173000,2,1,820,10450,1,no,820,0,1965,,10635 SE 196th St,Renton,WA 98055,USA
7/5/2014 00:00,575000,4,2,1650,5000,1,no,1650,0,1955,2005,6708 14th Ave NW,Seattle,WA 98117,USA
7/5/2014 00:00,640000,3,3,2270,5175,2,no,2130,140,2002,,1200 N 27th Pl,Renton,WA 98056,USA
7/5/2014 00:00,485000,3,2,1610,4160,1,no,1010,600,1917,,4313 SW Willow St,Seattle,WA 98136,USA
1/7/2014 00:00,174000,2,1,900,13531,1,no,900,0,1979,2014,102-1/2 5th Ave SW,Pacific,WA 98047,USA
16/5/2014 00:00,174500,2,1,1010,5200,1,no,1010,0,1955,2005,20721 9th Ave S,Des Moines,WA 98198,USA
7/5/2014 00:00,1340000,3,3,2960,5500,2,no,2440,520,1937,1990,3529 W Howe St,Seattle,WA 98199,USA
7/5/2014 00:00,239900,3,2,1410,7566,1,no,1410,0,1985,,11907 SE 261st Pl,Kent,WA 98030,USA
7/5/2014 00:00,314950,3,1,1040,16986,1,no,1040,0,1968,,18227 SE 135th St,Renton,WA 98059,USA
14/5/2014 00:00,175000,2,1,1170,8925,1,no,1170,0,1911,1979,921 S 223rd St,Des Moines,WA 98198,USA
7/5/2014 00:00,530000,3,1,1340,4284,1,no,1080,260,1910,2006,4703-4707 4th Ave NE,Seattle,WA 98105,USA
7/5/2014 00:00,560000,3,2,1860,13374,1,no,1860,0,1985,,1010 NW Inneswood Dr,Issaquah,WA 98027,USA
7/5/2014 00:00,775000,3,2,2540,7200,1.5,no,1600,940,1905,,517 32nd Ave S,Seattle,WA 98144,USA
23/5/2014 00:00,175000,2,1,1300,44431,1,no,1300,0,1958,,30557 55th Ave S,Auburn,WA 98001,USA
7/5/2014 00:00,690000,3,2,1760,6428,1,no,980,780,1942,1982,2145 Condon Way W,Seattle,WA 98199,USA
7/5/2014 00:00,794154,4,2,2210,8556,1,no,1210,1000,1954,1979,3235 30th Ave W,Seattle,WA 98199,USA
7/5/2014 00:00,185000,4,1,1490,6600,1,no,1490,0,1969,2010,13248 Occidental Ave S,Burien,WA 98168,USA
28/5/2014 00:00,175000,2,1,830,2699,1,no,830,0,1996,,22775 SE 242nd Pl,Maple Valley,WA 98038,USA
4/6/2014 00:00,175000,2,1,670,2378,1,no,670,0,1919,2001,3021-1/2 SW Harbor Ln,Seattle,WA 98126,USA
18/6/2014 00:00,175000,2,1,660,5000,1,no,660,0,1915,,4100 25th Ave SW,Seattle,WA 98106,USA
8/5/2014 00:00,533000,3,1,1670,4080,1,no,1170,500,1967,2011,544 NE 84th St,Seattle,WA 98115,USA
8/5/2014 00:00,830000,5,3,3040,9601,1,no,1970,1070,1968,,5200-5298 90th Ave SE,Mercer Island,WA 98040,USA
8/5/2014 00:00,712000,3,1,1250,4620,1.5,no,1150,100,1900,1971,3612 Interlake Ave N,Seattle,WA 98103,USA
20/6/2014 00:00,175000,2,1,1020,5130,1,no,1020,0,1948,,214 7th St SE,Auburn,WA 98002,USA
19/5/2014 00:00,176400,2,1,910,9612,1,no,910,0,1981,,14116 SE 193rd St,Renton,WA 98058,USA
22/5/2014 00:00,180000,2,1,1400,4500,1,no,900,500,1922,2008,309 Hardie Ave NW,Renton,WA 98057,USA
23/6/2014 00:00,180785.7143,2,1,2550,21675,1,no,1610,940,1958,1972,22320 11th Ave S,Des Moines,WA 98198,USA
28/5/2014 00:00,186950,2,2,1390,1302,2,no,1390,0,1986,,312 S 328th Ln,Federal Way,WA 98003,USA
8/5/2014 00:00,1039000,4,1,3410,5000,2,no,2190,1220,1910,,2509 33rd Ave S,Seattle,WA 98144,USA
9/7/2014 00:00,187000,2,1,840,11600,1,no,840,0,1952,2008,12314-12426 24th Ave S,Burien,WA 98168,USA
8/5/2014 00:00,207000,3,1,1490,8995,1,no,1490,0,1954,1979,12612 23rd Ave S,Seattle,WA 98168,USA
28/5/2014 00:00,189000,2,2,1700,3171,1,no,850,850,1927,,508 D St SE,Auburn,WA 98002,USA
25/6/2014 00:00,190368.75,2,1,1120,5650,1,no,1120,0,1944,,7414 S 118th Pl,Seattle,WA 98178,USA
8/5/2014 00:00,1750000,6,3,3510,5760,2.5,no,3510,0,1906,1990,806 15th Ave E,Seattle,WA 98112,USA
27/6/2014 00:00,191000,2,1,900,3400,1,no,900,0,1905,,8523 Dallas Ave S,Seattle,WA 98108,USA
8/5/2014 00:00,450000,3,2,1510,43560,1,no,1510,0,1954,2005,13611 Bear Creek Rd NE,Woodinville,WA 98077,USA
8/5/2014 00:00,297950,3,2,1240,10800,1,no,1240,0,1967,2010,17109 139th Pl SE,Renton,WA 98058,USA
12/5/2014 00:00,192000,2,1,700,10540,1,no,700,0,1953,,124 SW 185th St,Normandy Park,WA 98166,USA
8/5/2014 00:00,230000,3,1,1390,16000,1,no,1390,0,1960,2001,322 9th Ave N,Algona,WA 98001,USA
8/5/2014 00:00,835000,4,2,1910,6960,1.5,no,1910,0,1941,,744 N 83rd St,Seattle,WA 98103,USA
20/5/2014 00:00,192500,2,1,950,7692,1,no,950,0,1926,2003,12516 Military Rd S,Seattle,WA 98168,USA
9/5/2014 00:00,195000,2,1,720,18000,1,no,720,0,1950,2005,10614 57th Ave S,Seattle,WA 98178,USA
21/5/2014 00:00,195000,2,1,1080,3899,1,no,1080,0,1972,,24807 10th Ave S,Des Moines,WA 98198,USA
27/6/2014 00:00,195000,2,1,1020,8100,1,no,1020,0,1940,1996,11819 1st Avenue South,Seattle,WA 98168,USA
9/5/2014 00:00,224500,4,1,1430,8355,1.5,no,1430,0,1983,,31714 125th Pl SE,Auburn,WA 98092,USA
7/7/2014 00:00,195000,2,1,1190,27007,1,no,1190,0,1910,,205 SW Gibson Ln,Issaquah,WA 98027,USA
9/5/2014 00:00,610000,3,3,2480,45302,1,no,1620,860,1976,1992,19707 NE 181st St,Woodinville,WA 98077,USA
9/5/2014 00:00,920000,4,3,3750,11025,2,no,3750,0,1976,,3005 211th Ave NE,Sammamish,WA 98074,USA
24/5/2014 00:00,199000,2,1,720,7200,1,no,720,0,1943,,3113 SE 6th St,Renton,WA 98058,USA
9/5/2014 00:00,445000,4,2,1650,6000,1,no,1000,650,1959,,2211 20th Ave S,Seattle,WA 98144,USA
6/6/2014 00:00,200000,2,1,1730,9610,1,no,1380,350,1962,2003,34033 39th Ave S,Auburn,WA 98001,USA
11/6/2014 00:00,200000,2,1,700,4700,1,no,700,0,1953,,751 Redmond Ave NE,Renton,WA 98056,USA
9/5/2014 00:00,280000,4,2,2190,14439,1,no,1180,1010,1977,,3331 S 368th Pl,Auburn,WA 98001,USA
9/5/2014 00:00,260000,3,2,1920,8075,1,no,1510,410,1969,,32704 33rd Ave SW,Federal Way,WA 98023,USA
9/5/2014 00:00,201500,3,1,1160,8320,1,no,1160,0,1959,,24345 35th Pl S,Kent,WA 98032,USA
9/5/2014 00:00,248000,4,3,2163,5883,2,no,2163,0,2006,,429 Milwaukee Blvd S,Algona,WA 98001,USA
9/5/2014 00:00,532000,5,3,3480,57499,1,no,2340,1140,1976,1992,23801 SE 162nd St,Issaquah,WA 98027,USA
20/6/2014 00:00,200000,2,1,860,6600,1,no,860,0,1949,,12824 7th Ave S,Burien,WA 98168,USA
9/5/2014 00:00,511555,3,2,1400,7293,1,no,1400,0,1963,,2655 166th Ave SE,Bellevue,WA 98008,USA
26/6/2014 00:00,202000,2,1,920,7569,1,no,920,0,1950,1983,12120-12198 24th Ave S,Burien,WA 98168,USA
9/5/2014 00:00,481450,3,2,1410,4800,1,no,1410,0,1940,1996,7701 16th Ave NW,Seattle,WA 98117,USA
9/5/2014 00:00,234950,3,1,1360,9948,1,no,1360,0,1977,2004,21612 SE 290th Ct,Black Diamond,WA 98010,USA
9/5/2014 00:00,252500,3,1,1030,6127,1,no,880,150,1947,2012,819 NE 125th St,Seattle,WA 98125,USA
9/5/2014 00:00,270000,3,2,1690,9583,1,no,1690,0,1969,,108-150 Union Ave SE,Renton,WA 98059,USA
8/5/2014 00:00,205000,2,1,720,5040,1,no,720,0,1955,2005,8448 Delridge Way SW,Seattle,WA 98106,USA
9/5/2014 00:00,376000,3,2,1340,1384,3,no,1340,0,2008,,9245-9249 Fremont Ave N,Seattle,WA 98103,USA
10/5/2014 00:00,875000,4,2,2520,6000,1,no,1400,1120,1921,2007,6521 Fremont Ave N,Seattle,WA 98103,USA
10/5/2014 00:00,265000,4,1,1940,9533,1,no,1080,860,1962,2003,9908 S 210th Pl,Kent,WA 98031,USA
5/5/2014 00:00,206000,2,1,810,7158,1,no,810,0,1944,,12807 7th Ave S,Burien,WA 98168,USA
12/5/2014 00:00,235000,1,1,810,2451,1,no,810,0,1941,,9413 34th Ave SW,Seattle,WA 98126,USA
12/5/2014 00:00,560000,3,2,2560,216777,1,no,2560,0,1986,,19211 SE 342nd St,Auburn,WA 98092,USA
12/5/2014 00:00,372500,5,3,2480,10090,1,no,1300,1180,2004,2003,5537 S 119th St,Seattle,WA 98178,USA
12/5/2014 00:00,360000,4,2,1730,5500,1,no,1010,720,1943,,7953 14th Ave SW,Seattle,WA 98106,USA
12/5/2014 00:00,225000,3,1,990,8012,1,no,990,0,1966,,16411 120th Ave SE,Renton,WA 98058,USA
12/5/2014 00:00,950000,5,3,4530,258746,1.5,no,3200,1330,2003,,20325 NE 198th St,Woodinville,WA 98077,USA
12/5/2014 00:00,499950,3,1,980,6380,1,no,760,220,1941,1994,1733 NE 88th St,Seattle,WA 98115,USA
12/5/2014 00:00,330000,5,3,2100,7715,1,no,1250,850,2013,1923,1047-1099 S 130th St,Burien,WA 98168,USA
12/5/2014 00:00,201000,3,1,1460,9750,1,no,1460,0,1969,,30928 148th Ave SE,Kent,WA 98042,USA
20/6/2014 00:00,210000,2,2,1680,5756,2,no,1680,0,1910,,111 F St SE,Auburn,WA 98002,USA
12/5/2014 00:00,339000,3,1,1080,8100,1,no,1080,0,1955,2009,20248 20th Ave NE,Shoreline,WA 98155,USA
12/5/2014 00:00,368000,3,1,1280,9898,1,no,1280,0,1968,1997,13222 NE 193rd Pl,Woodinville,WA 98072,USA
12/5/2014 00:00,156000,3,1,970,8580,1,no,970,0,1959,1989,29621 18th Ave S,Federal Way,WA 98003,USA
12/5/2014 00:00,610000,4,3,2110,5000,1.5,no,1640,470,1930,,9319 45th Ave SW,Seattle,WA 98136,USA
24/6/2014 00:00,210000,2,1,970,5500,1,no,970,0,1956,2001,5031 Martin Luther King Jr Way S,Seattle,WA 98118,USA
26/6/2014 00:00,210000,2,1,720,8040,1,no,720,0,1943,2002,15252 20th Ave SW,Burien,WA 98166,USA
12/5/2014 00:00,910000,3,2,2700,6120,1,no,1350,1350,1962,,124 NE 61st St,Seattle,WA 98115,USA
12/5/2014 00:00,110000,3,1,1250,53143,1,no,1250,0,1945,,19693-19799 SE Maple Valley Hwy,Maple Valley,WA 98038,USA
12/5/2014 00:00,675000,4,3,2400,3340,1,no,1200,1200,1964,,618 NW 49th St,Seattle,WA 98107,USA
9/6/2014 00:00,212500,2,2,1030,21712,1,no,1030,0,1938,,12450 2nd Ave S,Seattle,WA 98168,USA
12/5/2014 00:00,630000,4,2,1770,6000,2,no,1770,0,1911,1981,3219 34th Ave W,Seattle,WA 98199,USA
27/6/2014 00:00,212700,2,1,940,5040,1,no,940,0,1926,2003,7157 32nd Ave SW,Seattle,WA 98126,USA
14/5/2014 00:00,215000,2,1,1240,7200,1,no,1240,0,1967,2011,4036 S 119th St,Tukwila,WA 98168,USA
13/5/2014 00:00,449500,3,2,1770,6610,1,no,960,810,1954,1979,19293 Stone Ave N,Shoreline,WA 98133,USA
13/5/2014 00:00,289000,3,1,1090,7315,1,no,1090,0,1981,,4018 NE 6th Ct,Renton,WA 98056,USA
13/5/2014 00:00,525000,5,3,2450,4591,2,no,2450,0,1994,,7349 24th Ave NW,Seattle,WA 98117,USA
13/5/2014 00:00,550000,4,2,2250,7500,1,no,1200,1050,1956,,2448 137th Ave SE,Bellevue,WA 98005,USA
13/5/2014 00:00,628000,4,2,2260,6000,1,no,1430,830,1958,2004,8028 27th Ave NE,Seattle,WA 98115,USA
13/5/2014 00:00,799200,6,3,2890,2370,2.5,no,2290,600,1906,2014,420 Boylston Ave E,Seattle,WA 98102,USA
13/5/2014 00:00,239950,3,1,1900,33888,1.5,no,1900,0,1942,1982,36400-36452 51st Ave S,Auburn,WA 98001,USA
13/5/2014 00:00,550000,7,4,3440,8100,2,no,3440,0,1970,2014,718 N 95th St,Seattle,WA 98103,USA
13/5/2014 00:00,225000,3,1,1040,6535,1,no,1040,0,1947,2012,12446 21st Ave S,Seattle,WA 98168,USA
28/5/2014 00:00,215000,2,1,1320,8865,1,no,1320,0,1943,,2496-2598 S 121st St,Burien,WA 98168,USA
13/5/2014 00:00,385000,3,2,1480,6600,1,no,740,740,1943,2002,4115 SW 106th St,Seattle,WA 98146,USA
13/6/2014 00:00,215000,2,1,710,7200,1,no,710,0,1943,2002,7027 S 125th St,Seattle,WA 98178,USA
13/5/2014 00:00,665000,3,2,1940,5820,1.5,no,1150,790,1944,,324 NW 48th St,Seattle,WA 98107,USA
13/5/2014 00:00,675000,5,3,3410,9600,1,no,1870,1540,1968,,2830 177th Ave NE,Redmond,WA 98052,USA
13/5/2014 00:00,620000,3,1,1710,4050,1.5,no,1710,0,1909,2004,6101-6149 Corliss Ave N,Seattle,WA 98103,USA
13/5/2014 00:00,580000,5,2,2290,7125,1,no,1190,1100,1964,2000,16541 NE 27th Pl,Bellevue,WA 98008,USA
13/5/2014 00:00,285000,3,1,1090,8640,1,no,1090,0,1973,,16014 16th Ave SW,Burien,WA 98166,USA
13/5/2014 00:00,375000,3,1,1190,9486,1,no,1190,0,1953,1983,217 SW 191st St,Normandy Park,WA 98166,USA
13/5/2014 00:00,560000,3,1,1440,5000,2,no,1440,0,1910,2006,6206 Phinney Ave N,Seattle,WA 98103,USA
13/5/2014 00:00,413000,4,1,1410,6000,1,no,810,600,1925,2002,4118 32nd Ave SW,Seattle,WA 98126,USA
13/5/2014 00:00,225000,3,1,1660,7210,1,no,1100,560,1963,2008,29140 42nd Ave S,Auburn,WA 98001,USA
13/5/2014 00:00,319000,3,1,1390,12823,1,no,1390,0,1968,,15846 196th Pl NE,Woodinville,WA 98077,USA
13/5/2014 00:00,322500,3,2,1350,14200,1,no,1350,0,1989,,14405 274th Ct NE,Duvall,WA 98019,USA
13/5/2014 00:00,570000,3,2,1530,5401,1,no,1530,0,1937,,7741 22nd Ave NE,Seattle,WA 98115,USA
14/5/2014 00:00,800000,3,1,1700,4400,1.5,no,1700,0,1906,1990,1109 32nd Ave,Seattle,WA 98122,USA
14/5/2014 00:00,740000,5,5,5774,31675,1,no,4490,1284,1984,,28511 10th Ave S,Federal Way,WA 98003,USA
14/5/2014 00:00,257200,3,2,1850,8250,1,no,1150,700,1952,,200 Pike St SE,Auburn,WA 98002,USA
14/5/2014 00:00,265000,3,2,1570,5706,1,no,1570,0,1998,2006,11549 SE 319th Pl,Auburn,WA 98092,USA
14/5/2014 00:00,372220,3,1,1290,5500,1,no,980,310,1951,1994,4607 SW Cloverdale St,Seattle,WA 98136,USA
14/5/2014 00:00,337500,5,2,1700,7314,1,no,1000,700,1956,2001,6000-6048 22nd Ave S,Seattle,WA 98108,USA
20/6/2014 00:00,218000,2,2,1310,2841,2,no,1310,0,2004,2003,28107 240th Ave SE,Maple Valley,WA 98038,USA
6/5/2014 00:00,219000,2,1,900,5160,1,no,900,0,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA
14/5/2014 00:00,310000,3,1,1050,9876,1,no,1050,0,1953,,18527 Kenlake Pl NE,Kenmore,WA 98028,USA
